Name,Description,Price,Fisher Profession (+25%),Angler Profession (+50%),Location,Time,Season,Weather,Size (inches),Difficulty & Behavior,Base XP,Used In
Pufferfish,Inflates when threatened.,"200g 


 250g 


 300g 


 400g","250g 


 312g 


 375g 


 500g","300g 


 375g 


 450g 


 600g","Ocean, Ginger Islandoceans",12pm – 4pm,"Summer
(All Seasonson Ginger Island)",Sun,1-37,80 floater,29,"Specialty Fish Bundle Abigail  (loved gift)
 ""Aquatic Research"" Quest"
Anchovy,A small silver fish found in the ocean.,"30g 


 37g 


 45g 


 60g","37g 


 46g 


 56g 


 75g","45g 


 55g 


 67g 


 90g",Ocean,Anytime,"Spring
 Fall",Any,1-17,30 dart,13,
Tuna,A large fish that lives in the ocean.,"100g 


 125g 


 150g 


 200g","125g 


 156g 


 187g 


 250g","150g 


 187g 


 225g 


 300g","Ocean, Ginger Islandoceans",6am – 7pm,"Summer
 Winter
(All Seasonson Ginger Island)",Any,12-61,70 smooth,26,"Ocean Fish Bundle
 Quality Fish Bundle Fish Taco"
Sardine,A common ocean fish.,"40g 


 50g 


 60g 


 80g","50g 


 62g 


 75g 


 100g","60g 


 75g 


 90g 


 120g",Ocean,6am – 7pm,"Spring
 Fall
 Winter",Any,1-13,30 dart,13,Ocean Fish Bundle Dish O' The Sea
Bream,A fairly common river fish that becomes active at night.,"45g 


 56g 


 67g 


 90g","56g 


 70g 


 83g 


 112g","67g 


 84g 


 100g 


 135g",River (Town+Forest),6pm – 2am,All Seasons,Any,12-31,35 smooth,14,Night Fishing Bundle Baked Fish
Largemouth Bass,A popular fish that lives in lakes.,"100g 


 125g 


 150g 


 200g","125g 


 156g 


 187g 


 250g","150g 


 187g 


 225g 


 300g",Mountain Lake,6am – 7pm,All Seasons,Any,11-31,50 mixed,19,"Lake Fish Bundle
 Quality Fish Bundle Crispy Bass ""Fish Casserole"" Quest"
Smallmouth Bass,A freshwater fish that is very sensitive to pollution.,"50g 


 62g 


 75g 


 100g","62g 


 77g 


 93g 


 125g","75g 


 93g 


 112g 


 150g","River (Town)
Forest Pond",Anytime,"Spring
 Fall",Any,12-25,28 mixed,12,
Rainbow Trout,A freshwater trout with colorful markings.,"65g 


 81g 


 97g 


 130g","81g 


 101g 


 121g 


 162g","97g 


 121g 


 145g 


 195g","River (Town+Forest)
Mountain Lake",6am – 7pm,Summer,Sun,10-26,45 mixed,18,Trout Soup
Salmon,Swims upstream to lay its eggs.,"75g 


 93g 


 112g 


 150g","93g 


 116g 


 140g 


 187g","112g 


 139g 


 168g 


 225g",River (Town+Forest),6am – 7pm,Fall,Any,24-66,50 mixed,19,Salmon Dinner
Walleye,A freshwater fish caught at night.,"105g 


 131g 


 157g 


 210g","131g 


 163g 


 196g 


 262g","157g 


 196g 


 235g 


 315g","River (Town+Forest)
Forest Pond
Mountain Lake",12pm – 2am,"Fall
 Winterwith Rain Totem",Rain,10-41,45 smooth,18,"Night Fishing Bundle
 Quality Fish Bundle"
Perch,A freshwater fish of the winter.,"55g 


 68g 


 82g 


 110g","68g 


 85g 


 102g 


 137g","82g 


 102g 


 123g 


 165g","River (Town+Forest)
Forest Pond
Mountain Lake",Anytime,Winter,Any,10-25,35 dart,14,
Carp,A common pond fish.,"30g 


 37g 


 45g 


 60g","37g 


 46g 


 56g 


 75g","45g 


 55g 


 67g 


 90g","Mountain Lake
Secret Woods Pond
The Sewers",Anytime,All Seasons,Any,15-51,15 mixed,8,Lake Fish Bundle Carp Surprise
Catfish,An uncommon fish found in streams.,"200g 


 250g 


 300g 


 400g","250g 


 312g 


 375g 


 500g","300g 


 375g 


 450g 


 600g","River (Town+Forest)
Secret Woods Pond
Witch's Swamp",6am – 12am,"Spring
 Fall
( Spring&
 Summerin Secret Woods Pond)",Rain,12-73,75 mixed,28,River Fish Bundle Willy  (loved gift)
Pike,A freshwater fish that's difficult to catch.,"100g 


 125g 


 150g 


 200g","125g 


 156g 


 187g 


 250g","150g 


 187g 


 225g 


 300g","River (Town+Forest)
Forest Pond",Anytime,"Summer
 Winter",Any,15-61,60 dart,23,
Sunfish,A common river fish.,"30g 


 37g 


 45g 


 60g","37g 


 46g 


 56g 


 75g","45g 


 55g 


 67g 


 90g",River (Town+Forest),6am – 7pm,"Spring
 Summer","Sun
 Wind",5-16,30 mixed,13,River Fish Bundle Baked Fish
Red Mullet,Long ago these were kept as pets.,"75g 


 93g 


 112g 


 150g","93g 


 116g 


 140g 


 187g","112g 


 139g 


 168g 


 225g",Ocean,6am – 7pm,"Summer
 Winter",Any,8-23,55 smooth,21,
Herring,A common ocean fish.,"30g 


 37g 


 45g 


 60g","37g 


 46g 


 56g 


 75g","45g 


 55g 


 67g 


 90g",Ocean,Anytime,"Spring
 Winter",Any,8-21,25 dart,11,
Eel,"A long, slippery little fish.","85g 


 106g 


 127g 


 170g","106g 


 132g 


 158g 


 212g","127g 


 159g 


 190g 


 255g",Ocean,4pm – 2am,"Spring
 Fall",Rain,12-81,70 smooth,26,Night Fishing Bundle Fried Eel Spicy Eel
Octopus,A mysterious and intelligent creature.,"150g 


 187g 


 225g 


 300g","187g 


 233g 


 281g 


 375g","225g 


 280g 


 337g 


 450g",Ocean,6am – 1pm,Summer,Any,12-49,95 sinker,34,Master Fisher's Bundle Willy  (loved gift)
Red Snapper,A popular fish with a nice red color.,"50g 


 62g 


 75g 


 100g","62g 


 77g 


 93g 


 125g","75g 


 93g 


 112g 


 150g",Ocean,6am – 7pm,"Summer
 Fall
 Winterwith Rain Totem",Rain,8-26,40 mixed,16,Ocean Fish Bundle
